HourOfDay,Users,Pageviews,AvgSessionDuration
2015040100,103,234,00:03:14
2015040101,83,195,00:02:29
2015040102,95,177,00:02:25
2015040103,39,92,00:01:44
2015040104,51,119,00:02:47
2015040105,81,186,00:02:26
2015040106,103,251,00:04:02
2015040107,187,620,00:05:02
2015040108,250,861,00:05:31
2015040109,248,836,00:06:08
2015040110,241,926,00:06:56
2015040111,255,"1025",00:06:54
2015040112,250,932,00:05:44
2015040113,270,"1050",00:07:14
2015040114,210,889,00:04:49
2015040115,239,899,00:05:15
2015040116,204,761,00:05:59
2015040117,167,539,00:04:29
2015040118,161,584,00:05:35
2015040119,150,583,00:06:50
2015040120,154,469,00:05:13
2015040121,192,594,00:04:31
2015040122,161,423,00:03:04
2015040123,137,392,00:03:10
2015040200,109,231,00:03:17
2015040201,78,227,00:03:12
2015040202,40,119,00:02:16
2015040203,37,105,00:06:19
2015040204,41,167,00:02:10
2015040205,59,163,00:03:46
2015040206,110,458,00:06:30
2015040207,133,524,00:05:14
2015040208,188,714,00:06:53
2015040209,194,642,00:06:04
2015040210,223,707,00:05:40
2015040211,211,699,00:05:15
2015040212,172,578,00:04:15
2015040213,196,700,00:06:26
2015040214,200,598,00:06:44
2015040215,175,707,00:05:31
2015040216,188,849,00:07:10
2015040217,121,485,00:04:51
2015040218,106,409,00:06:24
2015040219,108,324,00:04:35
2015040220,123,294,00:02:45
2015040221,114,297,00:03:07
2015040222,94,259,00:02:54
2015040223,89,219,00:02:45
2015040300,44,126,00:04:19
2015040301,79,165,00:01:55
2015040302,42,102,00:01:05
2015040303,35,61,00:02:34
2015040304,37,115,00:03:47
2015040305,72,185,00:02:30
2015040306,67,284,00:05:14
2015040307,92,353,00:06:28
2015040308,104,410,00:08:06
2015040309,105,366,00:04:15
2015040310,106,400,00:06:17
2015040311,107,378,00:05:27
2015040312,117,537,00:05:57
2015040313,103,352,00:04:27
2015040314,114,465,00:05:00
2015040315,81,295,00:04:15
2015040316,113,421,00:05:32
2015040317,115,385,00:04:27
2015040318,138,365,00:02:17
2015040319,90,218,00:03:40
2015040320,107,273,00:03:55
2015040321,104,353,00:05:53
2015040322,84,195,00:03:21
2015040323,74,247,00:02:46
2015040400,44,109,00:03:38
2015040401,41,104,00:02:22
2015040402,34,86,00:04:45
2015040403,29,95,00:02:17
2015040404,21,43,00:01:25
2015040405,34,87,00:05:59
2015040406,61,273,00:05:16
2015040407,86,311,00:06:29
2015040408,98,478,00:07:12
2015040409,94,372,00:05:04
2015040410,91,329,00:05:21
2015040411,97,395,00:04:35
2015040412,107,413,00:06:24
2015040413,92,417,00:04:42
2015040414,101,396,00:05:44
2015040415,101,399,00:07:14
2015040416,108,459,00:06:38
2015040417,76,300,00:07:08
2015040418,93,303,00:05:28
2015040419,102,237,00:02:34
2015040420,111,314,00:04:41
2015040421,143,388,00:04:03
2015040422,90,270,00:02:58
2015040423,62,171,00:03:48
2015040500,58,195,00:04:28
2015040501,31,107,00:03:46
2015040502,37,60,00:01:04
2015040503,32,53,00:02:45
2015040504,21,49,00:04:01
2015040505,41,171,00:05:35
2015040506,60,231,00:04:10
2015040507,84,304,00:05:50
2015040508,86,305,00:03:28
2015040509,75,361,00:07:09
2015040510,96,343,00:04:33
2015040511,105,317,00:05:16
2015040512,94,441,00:06:02
2015040513,90,296,00:03:47
2015040514,111,435,00:07:26
2015040515,109,452,00:10:34
2015040516,115,553,00:05:39
2015040517,124,486,00:06:32
2015040518,132,353,00:04:29
2015040519,106,272,00:04:04
2015040520,122,353,00:05:57
2015040521,111,349,00:05:56
2015040522,92,322,00:05:19
2015040523,80,245,00:03:09
2015040600,46,116,00:02:35
2015040601,42,103,00:06:38
2015040602,25,125,00:08:47
2015040603,31,114,00:04:37
2015040604,34,80,00:01:33
2015040605,46,125,00:06:22
2015040606,71,282,00:05:33
2015040607,104,348,00:06:48
2015040608,139,567,00:06:59
2015040609,130,472,00:04:58
2015040610,115,382,00:05:38
2015040611,121,425,00:05:44
2015040612,110,447,00:07:39
2015040613,130,412,00:05:09
2015040614,117,498,00:06:43
2015040615,137,720,00:06:41
2015040616,106,412,00:04:36
2015040617,124,500,00:06:04
2015040618,105,349,00:05:53
2015040619,125,448,00:06:20
2015040620,121,496,00:07:06
2015040621,121,574,00:09:05
2015040622,98,395,00:05:54
2015040623,90,296,00:01:31
2015040700,75,190,00:02:35
2015040701,50,177,00:04:50
2015040702,43,109,00:00:54
2015040703,33,150,00:06:46
2015040704,48,159,00:01:54
2015040705,42,151,00:03:51
2015040706,85,400,00:06:48
2015040707,134,640,00:07:48
2015040708,208,"1105",00:11:08
2015040709,247,"1283",00:09:10
2015040710,243,"1251",00:09:15
2015040711,216,"1072",00:08:42
2015040712,260,"1153",00:09:26
2015040713,246,"1080",00:05:51
2015040714,213,840,00:08:16
2015040715,219,"1037",00:08:06
2015040716,213,986,00:08:00
2015040717,189,769,00:04:48
2015040718,122,447,00:05:44
2015040719,163,582,00:05:36
2015040720,174,686,00:05:59
2015040721,140,544,00:07:39
2015040722,132,546,00:06:24
2015040723,82,242,00:03:06
2015040800,89,248,00:03:04
2015040801,46,90,00:02:33
2015040802,28,56,00:03:15
2015040803,39,138,00:05:18
2015040804,42,93,00:01:04
2015040805,59,149,00:02:59
2015040806,89,327,00:05:02
2015040807,147,569,00:08:27
2015040808,211,"1081",00:08:12
2015040809,217,889,00:06:46
2015040810,234,904,00:04:45
2015040811,229,852,00:05:39
2015040812,272,"1105",00:05:16
2015040813,248,"1137",00:07:16
2015040814,195,982,00:06:25
2015040815,225,854,00:05:07
2015040816,187,857,00:06:14
2015040817,157,563,00:04:02
2015040818,105,319,00:04:31
2015040819,150,500,00:06:07
2015040820,128,551,00:05:37
2015040821,108,322,00:03:17
2015040822,100,335,00:03:34
2015040823,101,281,00:03:20
2015040900,68,195,00:03:03
2015040901,30,91,00:03:02
2015040902,37,106,00:02:28
2015040903,25,64,00:02:43
2015040904,30,50,00:02:13
2015040905,41,124,00:04:50
2015040906,93,408,00:07:57
2015040907,162,656,00:06:07
2015040908,190,939,00:10:12
2015040909,225,981,00:06:53
2015040910,202,808,00:06:25
2015040911,192,797,00:05:40
2015040912,210,930,00:06:22
2015040913,226,993,00:06:39
2015040914,165,646,00:07:27
2015040915,204,936,00:05:54
2015040916,208,751,00:06:09
2015040917,144,597,00:05:34
2015040918,113,488,00:05:39
2015040919,140,466,00:05:11
2015040920,144,450,00:04:49
2015040921,103,454,00:05:26
2015040922,119,307,00:03:24
2015040923,99,317,00:03:40
2015041000,61,146,00:01:52
2015041001,61,177,00:03:28
2015041002,41,132,00:03:44
2015041003,29,87,00:02:26
2015041004,19,36,00:04:30
2015041005,42,136,00:04:31
2015041006,75,233,00:03:57
2015041007,119,390,00:05:36
2015041008,175,822,00:11:04
2015041009,198,863,00:05:25
2015041010,177,527,00:04:23
2015041011,167,732,00:08:24
2015041012,233,824,00:06:02
2015041013,191,835,00:09:04
2015041014,187,676,00:06:15
2015041015,188,815,00:06:56
2015041016,187,717,00:06:07
2015041017,152,612,00:04:51
2015041018,136,433,00:04:58
2015041019,128,450,00:05:54
2015041020,120,508,00:06:40
2015041021,127,428,00:05:07
2015041022,110,349,00:03:57
2015041023,100,317,00:03:39
2015041100,61,217,00:03:42
2015041101,54,161,00:04:05
2015041102,31,125,00:05:46
2015041103,30,84,00:00:54
2015041104,30,82,00:02:02
2015041105,40,117,00:03:40
2015041106,71,335,00:07:14
2015041107,82,242,00:08:18
2015041108,105,345,00:10:10
2015041109,115,453,00:05:26
2015041110,108,426,00:06:26
2015041111,127,555,00:06:42
2015041112,145,597,00:05:52
2015041113,131,578,00:06:20
2015041114,120,432,00:05:14
2015041115,107,347,00:04:09
2015041116,107,395,00:04:29
2015041117,115,419,00:06:17
2015041118,118,441,00:04:34
2015041119,123,304,00:05:12
2015041120,109,378,00:05:19
2015041121,131,349,00:03:46
2015041122,111,358,00:05:29
2015041123,85,373,00:04:08
2015041200,48,156,00:04:50
2015041201,42,122,00:02:02
2015041202,35,75,00:04:19
2015041203,35,94,00:02:43
2015041204,35,108,00:03:38
2015041205,32,119,00:04:02
2015041206,62,313,00:09:13
2015041207,118,432,00:04:39
2015041208,116,504,00:05:36
2015041209,117,427,00:04:12
2015041210,158,590,00:05:48
2015041211,142,572,00:07:48
2015041212,150,521,00:06:42
2015041213,147,615,00:07:30
2015041214,165,627,00:06:13
2015041215,185,637,00:05:16
2015041216,158,678,00:06:35
2015041217,155,590,00:04:49
2015041218,151,469,00:05:23
2015041219,189,499,00:03:09
2015041220,173,387,00:02:57
2015041221,148,374,00:03:32
2015041222,120,350,00:03:26
2015041223,91,269,00:01:58
2015041300,78,182,00:02:44
2015041301,67,132,00:03:17
2015041302,43,114,00:03:07
2015041303,37,104,00:04:34
2015041304,35,75,00:01:46
2015041305,50,138,00:03:10
2015041306,99,257,00:04:54
2015041307,190,678,00:06:43
2015041308,229,"1051",00:08:07
2015041309,155,412,00:12:16
2015041310,261,"1187",00:10:04
2015041311,241,944,00:07:27
2015041312,262,"1154",00:08:47
2015041313,250,"1107",00:08:59
2015041314,248,"1058",00:06:41
2015041315,267,"1182",00:07:18
2015041316,280,"1172",00:07:11
2015041317,195,910,00:05:34
2015041318,149,561,00:05:59
2015041319,168,583,00:05:12
2015041320,124,447,00:06:55
2015041321,173,539,00:04:18
2015041322,149,375,00:04:18
2015041323,85,239,00:02:11
2015041400,82,211,00:04:39
2015041401,50,141,00:03:24
2015041402,45,101,00:02:06
2015041403,40,99,00:03:00
2015041404,42,135,00:02:23
2015041405,57,170,00:04:30
2015041406,95,373,00:07:34
2015041407,164,642,00:07:21
2015041408,216,897,00:08:10
2015041409,284,"1240",00:08:12
2015041410,227,876,00:07:27
2015041411,252,950,00:06:12
2015041412,204,769,00:07:02
2015041413,217,874,00:08:32
2015041414,221,997,00:08:47
2015041415,241,"1097",00:08:26
2015041416,234,"1102",00:07:29
2015041417,160,687,00:05:48
2015041418,131,551,00:05:28
2015041419,151,507,00:07:24
2015041420,148,603,00:05:04
2015041421,133,494,00:05:58
2015041422,133,524,00:05:05
2015041423,100,427,00:03:53
2015041500,91,282,00:04:42
2015041501,56,176,00:03:57
2015041502,44,143,00:04:14
2015041503,34,109,00:02:43
2015041504,40,115,00:01:43
2015041505,47,109,00:02:15
2015041506,93,331,00:05:44
2015041507,166,632,00:07:41
2015041508,263,"1274",00:09:14
2015041509,240,997,00:09:18
2015041510,248,984,00:07:57
2015041511,264,"1165",00:05:37
2015041512,268,"1119",00:05:02
2015041513,255,793,00:05:13
2015041514,232,716,00:05:07
2015041515,249,"1060",00:06:22
2015041516,163,495,00:04:50
2015041517,196,706,00:05:53
2015041518,174,658,00:05:21
2015041519,192,700,00:04:40
2015041520,163,459,00:04:08
2015041521,174,515,00:05:00
2015041522,130,379,00:03:39
2015041523,127,333,00:02:59
2015041600,88,234,00:03:00
2015041601,54,111,00:02:44
2015041602,43,194,00:05:41
2015041603,39,135,00:03:39
2015041604,42,85,00:02:55
2015041605,53,140,00:03:01
2015041606,92,294,00:04:47
2015041607,139,518,00:07:12
2015041608,203,933,00:08:14
2015041609,193,649,00:09:02
2015041610,213,"1004",00:07:44
2015041611,224,997,00:06:50
2015041612,252,916,00:05:52
2015041613,232,826,00:06:39
2015041614,226,979,00:07:59
2015041615,252,"1062",00:07:35
2015041616,247,985,00:05:23
2015041617,180,698,00:05:04
2015041618,141,496,00:05:49
2015041619,169,425,00:03:14
2015041620,176,543,00:06:15
2015041621,144,395,00:03:44
2015041622,133,402,00:04:57
2015041623,93,327,00:03:22
2015041700,66,176,00:04:12
2015041701,61,200,00:04:22
2015041702,33,76,00:01:43
2015041703,30,102,00:04:28
2015041704,36,153,00:05:02
2015041705,46,156,00:07:01
2015041706,95,368,00:04:56
2015041707,123,475,00:05:35
2015041708,178,824,00:08:01
2015041709,205,674,00:06:25
2015041710,226,811,00:06:00
2015041711,237,935,00:05:29
2015041712,205,771,00:06:08
2015041713,173,601,00:06:29
2015041714,195,680,00:07:15
2015041715,227,997,00:07:47
2015041716,191,739,00:04:32
2015041717,135,489,00:04:20
2015041718,112,387,00:05:24
2015041719,97,250,00:04:59
2015041720,104,373,00:04:51
2015041721,113,261,00:02:31
2015041722,97,212,00:04:36
2015041723,86,325,00:04:18
2015041800,63,163,00:03:21
2015041801,45,139,00:00:57
2015041802,47,118,00:03:05
2015041803,23,81,00:13:29
2015041804,22,76,00:04:33
2015041805,42,158,00:04:51
2015041806,68,358,00:08:19
2015041807,90,365,00:04:56
2015041808,83,278,00:07:09
