IMPRESSIONS,REACH,ENGAGED_USERS,LIKES_NEW,DATE
7318,2027,256,22,4/1/15
3312,1079,123,15,4/2/15
1555,462,58,17,4/3/15
7755,1774,240,11,4/4/15
7035,2051,168,15,4/5/15
2943,842,56,11,4/6/15
15859,3589,553,14,4/7/15
9436,2082,363,12,4/8/15
4490,964,143,14,4/9/15
6379,1672,156,9,4/10/15
17004,3671,597,14,4/11/15
15278,3689,574,20,4/12/15
9752,1937,250,18,4/13/15
11719,2242,377,27,4/14/15
13941,3417,590,27,4/15/15
8879,2049,299,21,4/16/15
7240,1076,155,10,4/17/15
7475,1074,172,16,4/18/15
20889,3776,877,20,4/19/15
10010,2264,467,17,4/20/15
5433,1086,247,14,4/21/15
8821,1612,233,20,4/22/15
9313,2447,196,12,4/23/15
15823,2839,359,12,4/24/15
19176,3846,532,15,4/25/15
19586,3422,467,12,4/26/15
29573,9387,901,22,4/27/15
15366,5147,452,14,4/28/15
13902,2420,325,13,4/29/15
17434,2282,433,17,4/30/15
