IMPRESSIONS,REACH,ENGAGED_USERS,LIKES_NEW,DATE
16503,3635,676,19,5/1/15
22473,4616,901,24,5/2/15
20396,3465,597,25,5/3/15
24295,4104,684,30,5/4/15
24331,5853,655,24,5/5/15
8866,2312,238,24,5/6/15
31090,7597,1076,38,5/7/15
12393,3244,448,23,5/8/15
14620,2073,436,15,5/9/15
16404,2450,410,12,5/10/15
19524,2776,598,25,5/11/15
5788,1278,173,33,5/12/15
9068,1837,316,31,5/13/15
16832,5026,873,41,5/14/15
12308,2375,414,23,5/15/15
21092,3833,628,23,5/16/15
32456,8618,1280,31,5/17/15
26199,5124,824,27,5/18/15
12079,2398,349,36,5/19/15
15704,2242,451,37,5/20/15
20780,3401,603,31,5/21/15
10022,1760,257,15,5/22/15
25305,4980,887,22,5/23/15
20223,3417,683,28,5/24/15
21686,3707,647,27,5/25/15
